District code,State name,District name,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Television,Households_with_Telephone_Mobile_Phone,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Tapwater_Households
372,ORISSA,Sambalpur,33612,126498,5231,14521,5946,47662,91058,104722,17479,230568,56306,56878,60077
373,ORISSA,Debagarh,2236,22453,825,3247,1033,7347,10554,19048,9766,65145,5845,6971,5477
374,ORISSA,Sundargarh,77581,223537,12787,35024,14641,102703,164585,214427,25108,444791,139057,132466,93762
375,ORISSA,Kendujhar,30240,121830,2622,13167,7608,57029,74858,134123,34528,362680,55207,61402,41186
376,ORISSA,Mayurbhanj,29031,140189,2950,17999,6279,62502,83167,166662,50298,499979,61298,109355,37517
377,ORISSA,Baleshwar,36478,296834,7370,28289,8591,75401,161266,256167,58731,326787,99843,145565,71889
378,ORISSA,Bhadrak,15864,164636,2637,15609,3670,34791,86821,165031,27106,190084,58614,62233,13097
379,ORISSA,Kendrapara,15879,173107,1628,11836,2686,37980,96234,172218,24676,192470,53594,58387,26190
380,ORISSA,Jagatsinghapur,20225,139646,3199,13312,4349,44412,87312,150044,17781,185956,69329,65115,30099
381,ORISSA,Cuttack,103177,349587,15046,40589,15494,132934,236867,298570,51919,430691,189715,205665,123194
382,ORISSA,Jajapur,25969,192249,3831,17922,5921,54436,106545,174831,57308,273595,93232,93204,28238
383,ORISSA,Dhenkanal,19846,117172,1810,10600,3533,36224,66148,98136,31143,227629,43089,51080,17395
384,ORISSA,Anugul,27099,131916,5564,15658,9449,58323,77495,117477,32968,234844,57679,71436,41387
385,ORISSA,Nayagarh,11159,124984,1163,8278,2270,24290,50425,88288,27292,156951,30424,43798,32053
386,ORISSA,Khordha,160277,349860,35701,75588,33514,165342,253754,324544,33554,402397,230931,230413,147354
387,ORISSA,Puri,33331,201605,3416,16006,4693,57033,118112,178144,38498,235879,83906,87997,34363
388,ORISSA,Ganjam,120191,405298,9049,41059,9066,100866,257515,368877,65239,622010,170397,215821,196326
389,ORISSA,Gajapati,12035,63112,635,5523,656,8521,23672,34820,7448,113338,21818,23322,27133
390,ORISSA,Kandhamal,6938,28736,768,6609,1278,11947,19477,37068,11372,146761,16664,19176,8309
391,ORISSA,Baudh,3105,19191,245,3430,755,7778,13253,24261,5084,95521,8015,11585,4637
392,ORISSA,Subarnapur,5168,50028,708,4289,1332,14201,31103,43134,10850,139634,13293,15651,11679
393,ORISSA,Balangir,21268,123446,3286,17274,4629,43512,83505,125574,30207,403589,47324,65156,44064
394,ORISSA,Nuapada,6414,43976,757,4221,1346,12482,21975,38600,7854,150673,15564,23219,16217
395,ORISSA,Kalahandi,17610,91171,1953,12622,3547,34156,58571,95057,37486,385893,43839,47442,19264
396,ORISSA,Rayagada,24924,61543,1553,9166,2090,19440,42998,56834,12391,206721,38841,33500,41952
397,ORISSA,Nabarangapur,9347,34570,1324,8128,2030,21081,23582,56803,12035,237209,30611,25523,15353
398,ORISSA,Koraput,39631,85766,3988,17294,6922,37192,60021,87649,18233,295520,74594,58682,53017
399,ORISSA,Malkangiri,4738,24604,448,3908,820,10535,16397,26853,10287,113176,14559,12839,8613
400,CHHATTISGARH,Koriya,25605,80023,1667,7609,3402,26365,38765,50432,2956,147705,38370,35636,36605
401,CHHATTISGARH,Surguja,29433,253131,2737,18983,8096,56480,74614,118767,10854,509518,59109,130736,36922
402,CHHATTISGARH,Jashpur,6628,76783,567,5755,2442,15547,20512,35940,3260,187151,13683,27142,7961
403,CHHATTISGARH,Raigarh,27771,297308,3342,13857,5979,50302,98784,96724,16465,337072,50603,69909,71114
404,CHHATTISGARH,Korba,43357,202380,4544,18004,8677,55579,95963,90312,7336,263439,67505,77854,59627
405,CHHATTISGARH,Janjgir - Champa,19129,339090,1706,10833,3976,42565,126788,109908,20404,339072,39301,57417,51202
406,CHHATTISGARH,Bilaspur,77727,519704,8566,30892,13137,84851,193337,177334,29106,586579,135945,171271,152156
407,CHHATTISGARH,Kabeerdham,6375,150649,682,2962,1496,17444,36347,42291,10808,169558,18081,23347,23473
408,CHHATTISGARH,Rajnandgaon,26486,275501,2111,11790,4613,44532,106198,102053,10125,302710,59145,78798,72754
409,CHHATTISGARH,Durg,129193,614109,16141,51289,28840,177048,343369,315664,27306,663000,235446,228551,248578
410,CHHATTISGARH,Raipur,166505,728556,20261,59523,30572,177517,378113,340237,42010,803533,259502,267090,228246
411,CHHATTISGARH,Mahasamund,13200,212487,961,5614,3546,31472,68012,65540,11751,238810,26449,48150,32733
412,CHHATTISGARH,Dhamtari,14568,148926,1016,4804,3069,30621,67737,55660,6857,161955,29042,50033,52879
413,CHHATTISGARH,Uttar Bastar Kanker,7736,110208,579,4084,1932,19503,37017,36065,4755,150411,21153,31240,17399
414,CHHATTISGARH,Bastar,22075,157646,1782,9042,4227,32802,50155,58619,10134,296904,48350,62326,49120
415,CHHATTISGARH,Narayanpur,1384,9316,86,589,196,1976,4126,4069,1097,25089,3354,2892,4432
416,CHHATTISGARH,Dakshin Bastar Dantewada,10406,43608,955,3879,1827,10771,16799,21606,3603,104705,19687,17471,14034
417,CHHATTISGARH,Bijapur,1022,12516,117,1462,305,2625,4215,5033,2072,44058,7780,2843,1982
418,MADHYA PRADESH,Sheopur,11701,74770,273,5393,1634,17878,29266,57366,7284,114253,38510,18710,20123
419,MADHYA PRADESH,Morena,45113,131486,1781,20172,5829,48525,89156,195957,16448,332939,183336,75574,47948
420,MADHYA PRADESH,Bhind,32268,107819,1166,14368,4463,46137,75539,177168,12179,285941,181907,68734,39417
421,MADHYA PRADESH,Gwalior,165061,306859,15779,46454,21313,126189,232840,253163,11032,345303,278747,221052,163561
422,MADHYA PRADESH,Datia,17555,97696,616,5251,2897,25575,55966,89056,4447,150242,90102,35209,21821
423,MADHYA PRADESH,Shivpuri,35706,148128,1852,15304,5417,48952,71501,148509,14267,293612,111617,52090,38459
424,MADHYA PRADESH,Tikamgarh,21489,132725,1090,10899,4139,35388,62828,140118,8480,282893,95728,30506,17280
425,MADHYA PRADESH,Chhatarpur,36506,176056,1880,15567,6206,48339,82967,180063,8958,353944,120424,56851,25858
426,MADHYA PRADESH,Panna,13285,76097,653,8501,2219,18488,30800,82991,6807,222219,46827,23811,20499
427,MADHYA PRADESH,Sagar,68482,366494,4546,24811,11291,71201,160622,213013,21092,488714,251779,127876,108648
428,MADHYA PRADESH,Damoh,23270,187731,1432,10504,3031,28333,66044,104780,13991,288272,90156,43355,37933
429,MADHYA PRADESH,Satna,55196,294702,3754,22751,9401,64484,117176,212078,10675,460701,120969,142613,51222
430,MADHYA PRADESH,Rewa,45180,251132,3406,31194,11833,67856,109351,237937,11774,520946,113424,126470,40976
431,MADHYA PRADESH,Umaria,12713,67975,839,6360,1873,14918,22502,39260,5561,139642,23450,19781,17731
432,MADHYA PRADESH,Neemuch,34666,145258,1945,8342,4498,47549,73279,105328,4244,154169,81157,46190,74329
433,MADHYA PRADESH,Mandsaur,47723,239885,2324,12507,5435,62695,109904,166980,6248,269750,137166,68287,100429
434,MADHYA PRADESH,Ratlam,67830,213825,3644,14905,5757,67819,107463,146318,8593,287465,151425,96263,92722
435,MADHYA PRADESH,Ujjain,123526,323379,7501,27733,12167,107407,181659,248508,11795,375722,260973,165304,129402
436,MADHYA PRADESH,Shajapur,32204,232735,1382,10797,4200,49847,88946,160720,12061,290964,164788,68975,57416
437,MADHYA PRADESH,Dewas,59521,270457,3518,16523,9017,77281,124826,168269,15967,291655,193157,112895,64926
438,MADHYA PRADESH,Dhar,75637,349639,2388,18626,8080,85477,123750,183741,18345,409621,198890,126246,122739
439,MADHYA PRADESH,Indore,417170,593576,48691,111478,64865,286973,464337,479762,19449,602097,545277,480633,291070
440,MADHYA PRADESH,Khargone (West Nimar),51538,304291,2162,14189,4992,67290,111950,146889,21346,357719,207464,82265,176601
441,MADHYA PRADESH,Barwani,30115,181139,1158,8516,3102,31152,48847,70169,12134,236395,95231,45979,70117
442,MADHYA PRADESH,Rajgarh,30688,231130,1611,12718,4185,46026,76942,150010,20452,333957,146783,54463,44489
443,MADHYA PRADESH,Vidisha,41617,181510,1926,12888,5682,55126,96565,150643,8340,290809,190365,73505,47389
444,MADHYA PRADESH,Bhopal,281442,452912,40788,94729,60383,213130,339750,353909,14353,477778,420371,352351,290507
445,MADHYA PRADESH,Sehore,30868,212138,1566,11166,6041,60435,100011,141356,14775,245577,144152,80229,42540
446,MADHYA PRADESH,Raisen,34499,194373,1141,9931,6017,48130,87258,133315,17777,265409,153849,82664,55642
447,MADHYA PRADESH,Betul,45270,230974,2109,13755,5740,59230,94586,121106,14436,317408,184872,81190,88762
448,MADHYA PRADESH,Harda,22174,95066,986,5376,3556,30952,45661,63615,7758,106844,71326,51766,21860
449,MADHYA PRADESH,Hoshangabad,61415,198076,2871,14456,7335,67460,112371,138517,20360,242346,166373,122069,64944
450,MADHYA PRADESH,Katni,38086,172416,2179,13094,3958,35359,76207,100862,11531,275663,74604,56180,50054
